ID,Catalog#,Artist,Artist2,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes,Collection Cost,Collection Autographed, Min , Median , Max ,Genre,Subgenre,Label1,Label2,Label3,Label4
237,none,Intronaut,Intronaut,Valley Of Smoke,Not On Label (Intronaut Self-released),"LP, Album, Ltd, RE, Gol",4.0,2013,4960148.0,Vinyl,11/21/15 10:14,,,,20.0,Yes,22.99,40.0,76.92,Metal,Post Metal,Not On Label (Intronaut Self-released),,,
337,RR15,Falls Of Rauros,Falls Of Rauros,The Light That Dwells In Rotten Wood,Replenish Records,"2xLP, Ltd",,2013,4987272.0,Vinyl,10/5/14 18:52,,,,18.0,Yes,23.07,37.92,66.91,Metal,Black Metal,Replenish Records,,,
106,B0018959-01,Nirvana,Nirvana,In Utero (2013 Mix),"DGC, UMe","2x12"", Album, Gat",4.0,2013,5146137.0,Vinyl,2/4/18 20:38,,,,19.0,,24.44,26.72,36.36,Metal,Grunge,DGC,UMe,,
249,SOS005,Set and Setting,Set and Setting,Equanimity,Science of Silence Records,"12"", Opa",5.0,2013,4701121.0,Vinyl,9/9/15 11:33,,,,15.0,,25.0,26.5,31.45,Metal,Post Metal,Science of Silence Records,,,
297,BOBV098LPLTD,Opeth,Opeth,Morningrise,Back On Black,"2xLP, Album, Ltd, RE, Whi",,2013,4483594.0,Vinyl,3/19/15 17:42,,,,6.0,,26.0,35.0,65.21,Metal,Progressive Metal,Back On Black,,,
397,"RR 6622-1, RR6622-1",Mastodon,Mastodon,Leviathan,"Relapse Records, Relapse Records","LP, Album, Ltd, RP, Yel",,2013,5016167.0,Vinyl,12/27/13 19:58,,,,17.0,,27.5,42.49,87.68,Metal,Sludge Metal,Relapse Records,Relapse Records,,
349,10064,Gojira (2),Gojira (2),The Way Of All Flesh,Prosthetic Records,"2xLP, Album, Ltd, RP, Cle",5.0,2013,4814508.0,Vinyl,9/5/14 10:21,,,,30.0,Yes,33.0,48.49,65.0,Metal,Progressive Metal,Prosthetic Records,,,
388,"BSK033LP, RSD13-002",Uneven Structure,Uneven Structure,Februus,"Basick Records, Record Store Day","2xLP, Album",,2013,4528159.0,Vinyl,1/18/14 17:56,,,,15.0,,35.0,51.16,87.66,Metal,Djent,Basick Records,Record Store Day,,
395,9074-1,Vildhjarta,Vildhjarta,Thousands Of Evils,Century Media Records,"12"", EP, Cle",,2013,5005987.0,Vinyl,12/27/13 20:10,,,,18.0,,36.0,62.78,79.99,Metal,Djent,Century Media Records,,,
119,PFL115,Altar Of Plagues,Altar Of Plagues,Teethed Glory And Injury,Profound Lore Records,"2xLP, Album, Ltd",5.0,2013,4826356.0,Vinyl,10/30/17 23:26,,,,36.5,,40.0,49.99,82.05,Metal,Black Metal,Profound Lore Records,,,
404,9982741,Tesseract,Tesseract,Altered State,Century Media,"2xLP, Album, Ltd, Whi",5.0,2013,4597647.0,Vinyl,12/27/13 18:45,,,,20.0,,44.44,57.77,90.13,Metal,Djent,Century Media,,,
334,GFM 025V,The Contortionist (2),The Contortionist (2),Intrinsic,Good Fight Music,"LP, Album, Ltd, Whi",,2013,4220743.0,Vinyl,10/5/14 18:54,,,,15.0,,49.0,60.0,72.0,Metal,Djent,Good Fight Music,,,
